size,clique
3,"manicomio_san_lazzaro_di_reggio_emilia | camillo_golgi | arturo_donaggio"
3,"camillo_golgi | cesare_lombroso | arturo_donaggio"
3,"clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti | giovanni_bollea"
3,"dario_de_martis | carlo_lorenzo_cazzullo | neurodeliri_di_niguarda"
3,"carlo_lorenzo_cazzullo | virginio_porta | neurodeliri_di_niguarda"
3,"dario_de_martis | virginio_porta | neurodeliri_di_niguarda"
3,"eugenio_tanzi | leonardo_bianchi | rosolino_colella"
3,"rosolino_colella | camillo_golgi | cesare_lombroso"
3,"angelo_de_vincenti | cesare_lombroso | paolo_mantegazza"
3,"camillo_golgi | cesare_lombroso | paolo_mantegazza"
3,"franco_basaglia | ferdinando_barison | ludwig_binswanger"
3,"ernesto_lugaro | vito_maria_buscaino | carlo_berlucchi"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | ludwig_binswanger | massimo_fagioli"
3,"ferdinando_barison | ludwig_binswanger | massimo_fagioli"
3,"eugenio_medea | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi | andrea_verga"
3,"eugenio_medea | serafino_biffi | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"serafino_biffi | villa_antonini_poi_stabilimento_sanitario_biffi | andrea_verga"
3,"serafino_biffi | angelo_de_vincenti | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"lega_italiana_di_igiene_e_profilassi_mentale | eugenio_tanzi | mario_zalla"
3,"lega_italiana_di_igiene_e_profilassi_mentale | ernesto_lugaro | mario_zalla"
3,"eugenio_tanzi | mario_zalla | clinica_psichiatrica_dell_universit_di_firenze"
3,"alfredo_albertini | sante_de_sanctis | giuseppe_ferruccio_montesano"
3,"gabriele_buccola | augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia"
3,"gabriele_buccola | eugenio_tanzi | manicomio_san_lazzaro_di_reggio_emilia"
3,"gabriele_buccola | enrico_morselli | manicomio_san_lazzaro_di_reggio_emilia"
3,"giuseppe_seppilli | gabriele_buccola | manicomio_san_lazzaro_di_reggio_emilia"
3,"ernesto_lugaro | gastone_canziani | alfredo_coppola"
3,"ernesto_lugaro | gastone_canziani | amos_chiabov"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | gastone_canziani | amos_chiabov"
3,"ferdinando_barison | ludwig_binswanger | lorenzo_calvi"
3,"eugenio_medea | carlo_pieraccini | villa_antonini_poi_stabilimento_sanitario_biffi"
3,"eugenio_tanzi | mario_zalla | filippo_cardona"
3,"eugenio_tanzi | clinica_psichiatrica_dell_universit_di_firenze | filippo_cardona"
3,"mario_zalla | clinica_psichiatrica_dell_universit_di_firenze | filippo_cardona"
3,"eugenio_medea | alfredo_albertini | zaccaria_treves"
3,"eugenio_tanzi | amedeo_herlitzka | clinica_psichiatrica_dell_universit_di_firenze"
3,"giuseppe_seppilli | ospedale_psichiatrico_provinciale_di_bologna_in_imola | silvio_tonnini"
3,"lega_italiana_di_igiene_e_profilassi_mentale | luigi_baroncini | giulio_cesare_ferrari"
3,"luigi_baroncini | ospedale_psichiatrico_provinciale_di_bologna_in_imola | giulio_cesare_ferrari"
3,"franco_basaglia | ludwig_binswanger | ferruccio_giacanelli"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | giuseppe_guicciardi"
3,"manicomio_san_lazzaro_di_reggio_emilia | giulio_cesare_ferrari | giuseppe_guicciardi"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | franco_basaglia | agostino_pirella"
3,"sante_de_sanctis | vito_massarotti | giovanni_mingazzini"
3,"lega_italiana_di_igiene_e_profilassi_mentale | sante_de_sanctis | william_james"
3,"lega_italiana_di_igiene_e_profilassi_mentale | giulio_cesare_ferrari | william_james"
3,"serafino_biffi | filippo_lussana | andrea_verga"
3,"virginio_porta | clinica_delle_malattie_mentali_presso_l_ospedale_psichiatrico_di_mombello | carlo_besta"
3,"clinica_delle_malattie_mentali_presso_l_ospedale_psichiatrico_di_mombello | carlo_besta | silvio_brambilla"
3,"ernst_bernhard | mario_moreno | associazione_italiana_di_psicologia_analitica_aipa_sezione_di_milano"
3,"societ_psicoanalitica_italiana | tommaso_senise | arnaldo_novelletto"
3,"franco_fornari | societ_psicoanalitica_italiana | luciana_nissim_momigliano"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | franco_fornari | luciana_nissim_momigliano"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | ignazio_zani"
3,"manicomio_san_lazzaro_di_reggio_emilia | carlo_livi | ignazio_zani"
3,"augusto_tamburini | carlo_livi | ignazio_zani"
3,"cesare_castiglioni | andrea_verga | pia_casa_della_senavra"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | giacomo_pighini"
3,"leonardo_bianchi | giovanni_mingazzini | mario_panizza"
3,"dario_de_martis | virginio_porta | clinica_per_malattie_nervose_villa_fiorita_in_brugherio"
3,"augusto_tamburini | carlo_livi | ospedale_psichiatrico_provinciale_di_mantova"
3,"ospedale_psichiatrico_provinciale_di_pavia_in_voghera | cesare_lombroso | gaspare_bergonzoli"
3,"franco_basaglia | ferruccio_giacanelli | ospedale_psichiatrico_provinciale_di_parma_in_colorno"
3,"franco_basaglia | agostino_pirella | antonio_slavich"
3,"cesare_lombroso | sante_de_sanctis | benigno_di_tullio"
3,"agostino_gemelli | lorenzo_calvi | laboratorio_di_psicologia_sperimentale_dell_universit_cattolica_di_milano"
3,"dario_de_martis | carlo_lorenzo_cazzullo | padiglione_guardia_psichiatrica_dell_ospedale_maggiore_di_milano"
3,"diego_napolitani | centro_di_socioterapia_villa_serena | ludwig_binswanger"
3,"andrea_verga | pia_casa_della_senavra | giovanni_capsoni"
3,"marino_benvenuti | arnaldo_pieraccini | sezione_neurologica_dell_ospedale_neuropsichiatrico_di_arezzo"
3,"ernesto_lugaro | dino_bolsi | paolo_emilio_maspes"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | pietro_petrazzani"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | gaetano_benedetti | silvano_arieti"
3,"manicomio_di_s_maria_della_scaletta_osservanza_di_imola | lodovico_figna | raffaele_baroncini"
3,"alfredo_albertini | zaccaria_treves | istituto_civico_di_pedagogia_e_psicologia_sperimentale_di_milano"
3,"clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti | ferdinando_accornero"
