size,clique
5,"actor_0000 | actor_0001 | actor_0005 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0001 | actor_0002 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0002 | actor_0004 | actor_0005 | actor_0006"
5,"actor_0000 | actor_0004 | actor_0005 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0002 | actor_0004 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0001 | actor_0004 | actor_0005 | actor_0006"
5,"actor_0000 | actor_0001 | actor_0004 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0001 | actor_0002 | actor_0004 | actor_0006"
5,"actor_0000 | actor_0002 | actor_0003 | actor_0005 | actor_0006"
5,"actor_0000 | actor_0003 | actor_0005 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0002 | actor_0003 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0001 | actor_0003 | actor_0005 | actor_0006"
5,"actor_0000 | actor_0001 | actor_0003 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0001 | actor_0002 | actor_0003 | actor_0006"
5,"actor_0000 | actor_0003 | actor_0004 | actor_0005 | actor_0006"
5,"actor_0000 | actor_0003 | actor_0004 | actor_0006 | actor_0007"
5,"actor_0000 | actor_0002 | actor_0003 | actor_0004 | actor_0006"
5,"actor_0000 | actor_0001 | actor_0003 | actor_0004 | actor_0006"
4,"actor_0001 | actor_0002 | actor_0005 | actor_0007"
4,"actor_0002 | actor_0003 | actor_0005 | actor_0007"
4,"actor_0001 | actor_0003 | actor_0005 | actor_0007"
4,"actor_0001 | actor_0002 | actor_0003 | actor_0005"
4,"actor_0001 | actor_0002 | actor_0003 | actor_0007"
4,"actor_0002 | actor_0005 | actor_0006 | actor_0007"
4,"actor_0001 | actor_0005 | actor_0006 | actor_0007"
4,"actor_0001 | actor_0002 | actor_0005 | actor_0006"
4,"actor_0001 | actor_0002 | actor_0006 | actor_0007"
4,"actor_0002 | actor_0003 | actor_0005 | actor_0006"
4,"actor_0003 | actor_0005 | actor_0006 | actor_0007"
4,"actor_0002 | actor_0003 | actor_0006 | actor_0007"
4,"actor_0001 | actor_0003 | actor_0005 | actor_0006"
4,"actor_0001 | actor_0003 | actor_0006 | actor_0007"
4,"actor_0001 | actor_0002 | actor_0003 | actor_0006"
4,"actor_0002 | actor_0004 | actor_0005 | actor_0007"
4,"actor_0001 | actor_0004 | actor_0005 | actor_0007"
4,"actor_0001 | actor_0002 | actor_0004 | actor_0005"
4,"actor_0001 | actor_0002 | actor_0004 | actor_0007"
4,"actor_0004 | actor_0005 | actor_0006 | actor_0007"
4,"actor_0002 | actor_0004 | actor_0005 | actor_0006"
4,"actor_0002 | actor_0004 | actor_0006 | actor_0007"
4,"actor_0001 | actor_0004 | actor_0005 | actor_0006"
4,"actor_0001 | actor_0002 | actor_0004 | actor_0006"
4,"actor_0001 | actor_0004 | actor_0006 | actor_0007"
4,"actor_0003 | actor_0004 | actor_0005 | actor_0007"
4,"actor_0002 | actor_0003 | actor_0004 | actor_0005"
4,"actor_0002 | actor_0003 | actor_0004 | actor_0007"
4,"actor_0001 | actor_0003 | actor_0004 | actor_0005"
4,"actor_0001 | actor_0002 | actor_0003 | actor_0004"
4,"actor_0001 | actor_0003 | actor_0004 | actor_0007"
4,"actor_0003 | actor_0004 | actor_0005 | actor_0006"
4,"actor_0002 | actor_0003 | actor_0004 | actor_0006"
4,"actor_0003 | actor_0004 | actor_0006 | actor_0007"
4,"actor_0001 | actor_0003 | actor_0004 | actor_0006"
4,"actor_0000 | actor_0002 | actor_0005 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0005 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0002 | actor_0005"
4,"actor_0000 | actor_0001 | actor_0002 | actor_0007"
4,"actor_0000 | actor_0004 | actor_0005 | actor_0007"
4,"actor_0000 | actor_0002 | actor_0004 | actor_0005"
4,"actor_0000 | actor_0002 | actor_0004 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0004 | actor_0005"
4,"actor_0000 | actor_0001 | actor_0002 | actor_0004"
4,"actor_0000 | actor_0001 | actor_0004 | actor_0007"
4,"actor_0000 | actor_0003 | actor_0005 | actor_0007"
4,"actor_0000 | actor_0002 | actor_0003 | actor_0005"
4,"actor_0000 | actor_0002 | actor_0003 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0003 | actor_0005"
4,"actor_0000 | actor_0001 | actor_0002 | actor_0003"
4,"actor_0000 | actor_0001 | actor_0003 | actor_0007"
4,"actor_0000 | actor_0003 | actor_0004 | actor_0005"
4,"actor_0000 | actor_0002 | actor_0003 | actor_0004"
4,"actor_0000 | actor_0003 | actor_0004 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0003 | actor_0004"
4,"actor_0000 | actor_0005 | actor_0006 | actor_0007"
4,"actor_0000 | actor_0002 | actor_0005 | actor_0006"
4,"actor_0000 | actor_0002 | actor_0006 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0005 | actor_0006"
4,"actor_0000 | actor_0001 | actor_0002 | actor_0006"
4,"actor_0000 | actor_0001 | actor_0006 | actor_0007"
4,"actor_0000 | actor_0004 | actor_0005 | actor_0006"
4,"actor_0000 | actor_0002 | actor_0004 | actor_0006"
4,"actor_0000 | actor_0004 | actor_0006 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0004 | actor_0006"
4,"actor_0000 | actor_0003 | actor_0005 | actor_0006"
4,"actor_0000 | actor_0002 | actor_0003 | actor_0006"
4,"actor_0000 | actor_0003 | actor_0006 | actor_0007"
4,"actor_0000 | actor_0001 | actor_0003 | actor_0006"
4,"actor_0000 | actor_0003 | actor_0004 | actor_0006"
3,"actor_0002 | actor_0005 | actor_0007"
3,"actor_0001 | actor_0005 | actor_0007"
3,"actor_0001 | actor_0002 | actor_0005"
3,"actor_0001 | actor_0002 | actor_0007"
3,"actor_0818 | actor_1001 | actor_1481"
3,"actor_0002 | actor_0003 | actor_0005"
3,"actor_0003 | actor_0005 | actor_0007"
3,"actor_0002 | actor_0003 | actor_0007"
3,"actor_0001 | actor_0003 | actor_0005"
3,"actor_0001 | actor_0003 | actor_0007"
3,"actor_0001 | actor_0002 | actor_0003"
3,"actor_0002 | actor_0005 | actor_0006"
3,"actor_0005 | actor_0006 | actor_0007"
3,"actor_0002 | actor_0006 | actor_0007"
3,"actor_0001 | actor_0005 | actor_0006"
3,"actor_0001 | actor_0006 | actor_0007"
3,"actor_0001 | actor_0002 | actor_0006"
3,"actor_0003 | actor_0005 | actor_0006"
3,"actor_0002 | actor_0003 | actor_0006"
3,"actor_0003 | actor_0006 | actor_0007"
3,"actor_0001 | actor_0003 | actor_0006"
3,"actor_0002 | actor_0004 | actor_0005"
3,"actor_0004 | actor_0005 | actor_0007"
3,"actor_0002 | actor_0004 | actor_0007"
3,"actor_0001 | actor_0004 | actor_0005"
3,"actor_0001 | actor_0004 | actor_0007"
3,"actor_0001 | actor_0002 | actor_0004"
3,"actor_0004 | actor_0005 | actor_0006"
3,"actor_0004 | actor_0006 | actor_0007"
3,"actor_0002 | actor_0004 | actor_0006"
3,"actor_0001 | actor_0004 | actor_0006"
3,"actor_0003 | actor_0004 | actor_0005"
3,"actor_0003 | actor_0004 | actor_0007"
3,"actor_0002 | actor_0003 | actor_0004"
3,"actor_0001 | actor_0003 | actor_0004"
3,"actor_0003 | actor_0004 | actor_0006"
3,"actor_0000 | actor_0002 | actor_0005"
3,"actor_0000 | actor_0005 | actor_0007"
3,"actor_0000 | actor_0002 | actor_0007"
3,"actor_0000 | actor_0001 | actor_0005"
3,"actor_0000 | actor_0001 | actor_0007"
3,"actor_0000 | actor_0001 | actor_0002"
3,"actor_0000 | actor_0004 | actor_0005"
3,"actor_0000 | actor_0004 | actor_0007"
3,"actor_0000 | actor_0002 | actor_0004"
3,"actor_0000 | actor_0001 | actor_0004"
3,"actor_0000 | actor_0003 | actor_0005"
3,"actor_0000 | actor_0003 | actor_0007"
3,"actor_0000 | actor_0002 | actor_0003"
3,"actor_0000 | actor_0001 | actor_0003"
3,"actor_0000 | actor_0003 | actor_0004"
3,"actor_0000 | actor_0005 | actor_0006"
3,"actor_0000 | actor_0006 | actor_0007"
3,"actor_0000 | actor_0002 | actor_0006"
3,"actor_0000 | actor_0001 | actor_0006"
3,"actor_0000 | actor_0004 | actor_0006"
3,"actor_0000 | actor_0003 | actor_0006"
3,"actor_0675 | actor_0745 | actor_1228"
3,"actor_0266 | actor_1208 | actor_1492"
3,"actor_0495 | actor_0594 | actor_0767"
3,"actor_0486 | actor_0625 | actor_0885"
3,"actor_0486 | actor_0885 | actor_1449"
3,"actor_0079 | actor_0266 | actor_1386"
3,"actor_0110 | actor_0254 | actor_1162"
3,"actor_0457 | actor_1015 | actor_1465"
3,"actor_0099 | actor_1015 | actor_1465"
3,"actor_0021 | actor_0289 | actor_1173"
3,"actor_0388 | actor_0821 | actor_1450"
3,"actor_0388 | actor_0626 | actor_0821"
3,"actor_1009 | actor_1267 | actor_1347"
3,"actor_0822 | actor_0911 | actor_1015"
3,"actor_0364 | actor_0440 | actor_1108"
3,"actor_0906 | actor_0920 | actor_1490"
3,"actor_0013 | actor_0487 | actor_0939"
3,"actor_0429 | actor_0676 | actor_0739"
3,"actor_0168 | actor_0901 | actor_0911"
3,"actor_0291 | actor_1210 | actor_1353"
3,"actor_0472 | actor_0889 | actor_1227"
3,"actor_0068 | actor_0868 | actor_1198"
3,"actor_0536 | actor_0981 | actor_1017"
3,"actor_1096 | actor_1293 | actor_1346"
3,"actor_0289 | actor_1037 | actor_1404"
3,"actor_0032 | actor_0138 | actor_1460"
3,"actor_0160 | actor_0494 | actor_0906"
3,"actor_0464 | actor_0885 | actor_1449"
3,"actor_0437 | actor_0782 | actor_1138"
3,"actor_0032 | actor_0138 | actor_0835"
3,"actor_0363 | actor_0518 | actor_1379"
3,"actor_0724 | actor_0857 | actor_0891"
3,"actor_0574 | actor_0798 | actor_1176"
3,"actor_0817 | actor_0891 | actor_1356"
3,"actor_0109 | actor_0170 | actor_0351"
3,"actor_0822 | actor_1125 | actor_1482"
3,"actor_1105 | actor_1208 | actor_1492"
3,"actor_0405 | actor_0508 | actor_0722"
3,"actor_0491 | actor_1328 | actor_1436"
3,"actor_0054 | actor_0680 | actor_1392"
3,"actor_0230 | actor_1066 | actor_1447"
3,"actor_0213 | actor_0427 | actor_0656"
3,"actor_0740 | actor_0759 | actor_0814"
3,"actor_0170 | actor_0194 | actor_1003"
3,"actor_0088 | actor_0726 | actor_0925"
3,"actor_0710 | actor_0929 | actor_1410"
3,"actor_0360 | actor_0693 | actor_1382"
3,"actor_0194 | actor_1003 | actor_1375"
3,"actor_0653 | actor_1040 | actor_1432"
3,"actor_0128 | actor_0323 | actor_0385"
3,"actor_0873 | actor_0893 | actor_1253"
3,"actor_0343 | actor_0588 | actor_1318"
3,"actor_0093 | actor_0211 | actor_1139"
3,"actor_0560 | actor_0862 | actor_1305"
3,"actor_0651 | actor_1028 | actor_1070"
3,"actor_0091 | actor_0315 | actor_0484"
3,"actor_0435 | actor_1128 | actor_1189"
3,"actor_0827 | actor_1283 | actor_1294"
3,"actor_0102 | actor_0772 | actor_1476"
3,"actor_0398 | actor_0572 | actor_0735"
3,"actor_0628 | actor_0791 | actor_1237"
3,"actor_0084 | actor_0366 | actor_0647"
3,"actor_0516 | actor_1256 | actor_1276"
3,"actor_0986 | actor_1040 | actor_1247"
3,"actor_0318 | actor_0620 | actor_1087"
3,"actor_0537 | actor_0697 | actor_1060"
3,"actor_0200 | actor_0320 | actor_1027"
3,"actor_0752 | actor_1002 | actor_1185"
3,"actor_0369 | actor_0410 | actor_0971"
3,"actor_0128 | actor_0219 | actor_0656"
3,"actor_0392 | actor_0447 | actor_0811"
3,"actor_0100 | actor_0180 | actor_0402"
3,"actor_0067 | actor_0167 | actor_1330"
3,"actor_1280 | actor_1453 | actor_1482"
3,"actor_0003 | actor_0004 | actor_0602"
3,"actor_0014 | actor_0591 | actor_0795"
3,"actor_0949 | actor_1215 | actor_1271"
3,"actor_0684 | actor_0781 | actor_1459"
3,"actor_0347 | actor_1014 | actor_1062"
3,"actor_0597 | actor_1137 | actor_1346"
3,"actor_0139 | actor_1425 | actor_1449"
