size,clique
4,"alberto_marzi | enzo_bonaventura | maria_luisa_falorni | scuola_magistrale_ortofrenica_di_firenze"
4,"franco_basaglia | letizia_comba | agostino_pirella | antonio_slavich"
4,"gaetano_kanizsa | alberto_argenton | paolo_bozzi | fabio_metelli"
4,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_livi | ignazio_zani"
3,"lega_italiana_di_igiene_e_profilassi_mentale | enrico_morselli | sante_de_sanctis"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_besta"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | franco_fornari | cesare_luigi_musatti"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi | carlo_besta"
3,"carlo_lorenzo_cazzullo | riccardo_bozzi | carlo_besta"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | ugo_cerletti | riccardo_bozzi"
3,"virginio_porta | manicomio_san_lazzaro_di_reggio_emilia | carlo_besta"
3,"carlo_lorenzo_cazzullo | virginio_porta | carlo_besta"
3,"giovanni_carlo_zapparoli | ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi"
3,"carlo_lorenzo_cazzullo | ospedale_psichiatrico_provinciale_paolo_pini | riccardo_bozzi"
3,"giovanni_carlo_zapparoli | ospedale_psichiatrico_provinciale_paolo_pini | riccardo_bozzi"
3,"lega_italiana_di_igiene_e_profilassi_mentale | eugenio_tanzi | leonardo_bianchi"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | franco_basaglia | ludwig_binswanger"
3,"dina_vallino | franco_fornari | societ_psicoanalitica_italiana"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | ernesto_belmondo"
3,"manicomio_san_lazzaro_di_reggio_emilia | ernesto_belmondo | carlo_besta"
3,"augusto_tamburini | ernesto_belmondo | carlo_besta"
3,"eugenio_tanzi | manicomio_san_lazzaro_di_reggio_emilia | ernesto_belmondo"
3,"lega_italiana_di_igiene_e_profilassi_mentale | giuseppe_antonini_senior | giulio_cesare_ferrari"
3,"giuseppe_corberi | lega_italiana_di_igiene_e_profilassi_mentale | giulio_cesare_ferrari"
3,"eugenio_medea | giuseppe_corberi | lega_italiana_di_igiene_e_profilassi_mentale"
3,"giuseppe_corberi | giuseppe_antonini_senior | giulio_cesare_ferrari"
3,"giuseppe_corberi | lega_italiana_di_igiene_e_profilassi_mentale | giuseppe_antonini_senior"
3,"giuseppe_corberi | ospedale_psichiatrico_provinciale_di_milano_in_mombello | giuseppe_antonini_senior"
3,"societ_italiana_di_psicologia | federico_kiesow | agostino_gemelli"
3,"dario_de_martis | virginio_porta | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
3,"dario_de_martis | carlo_lorenzo_cazzullo | virginio_porta"
3,"giuseppe_carlo_riquier | riccardo_bozzi | carlo_besta"
3,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | carlo_besta"
3,"carlo_lorenzo_cazzullo | giuseppe_carlo_riquier | riccardo_bozzi"
3,"dario_de_martis | carlo_lorenzo_cazzullo | giuseppe_carlo_riquier"
3,"berta_neumann | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | ludwig_binswanger"
3,"dario_de_martis | berta_neumann | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
3,"manicomio_san_lazzaro_di_reggio_emilia | luigi_lugiato | carlo_besta"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | luigi_lugiato | carlo_besta"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | luigi_lugiato | riccardo_bozzi"
3,"luigi_lugiato | riccardo_bozzi | carlo_besta"
3,"manicomio_san_lazzaro_di_reggio_emilia | luigi_lugiato | ernesto_belmondo"
3,"luigi_lugiato | ernesto_belmondo | carlo_besta"
3,"lega_italiana_di_igiene_e_profilassi_mentale | giuseppe_antonini_senior | luigi_lugiato"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | giuseppe_antonini_senior | luigi_lugiato"
3,"giuseppe_antonini_senior | cesare_lombroso | lorenzo_ellero"
3,"giuseppe_antonini_senior | luigi_lugiato | lorenzo_ellero"
3,"angelo_majorana | sante_de_sanctis | ferruccio_banissoni"
3,"carlo_de_sanctis | lega_italiana_di_igiene_e_profilassi_mentale | sante_de_sanctis"
3,"eugenio_medea | carlo_de_sanctis | lega_italiana_di_igiene_e_profilassi_mentale"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | giuseppe_amadei"
3,"manicomio_san_lazzaro_di_reggio_emilia | giuseppe_amadei | giulio_cesare_ferrari"
3,"enrico_morselli | manicomio_san_lazzaro_di_reggio_emilia | giuseppe_amadei"
3,"manicomio_san_lazzaro_di_reggio_emilia | camillo_golgi | carlo_besta"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | elvio_fachinelli | cesare_luigi_musatti"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | tommaso_senise | cesare_luigi_musatti"
3,"carlo_de_sanctis | sante_de_sanctis | giuseppe_ferruccio_montesano"
3,"carlo_de_sanctis | giuseppe_ferruccio_montesano | giovanni_bollea"
3,"angelo_de_vincenti | cesare_lombroso | lorenzo_ellero"
3,"eugenio_medea | serafino_biffi | angelo_de_vincenti"
3,"serafino_biffi | angelo_de_vincenti | andrea_verga"
3,"edoardo_weiss | sante_de_sanctis | ferruccio_banissoni"
3,"edoardo_weiss | societ_psicoanalitica_italiana | ferruccio_banissoni"
3,"franco_fornari | societ_psicoanalitica_italiana | enzo_morpurgo"
3,"eugenio_medea | giuseppe_corberi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro"
3,"eugenio_medea | angelo_de_vincenti | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro"
3,"angelo_de_vincenti | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro | lorenzo_ellero"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | carlo_livi"
3,"enrico_morselli | manicomio_san_lazzaro_di_reggio_emilia | carlo_livi"
3,"societ_italiana_di_psicologia | alberto_marzi | francesco_de_sarlo"
3,"ospedale_psichiatrico_provinciale_di_pavia_in_voghera | giuseppe_antonini_senior | augusto_tamburini"
3,"ospedale_psichiatrico_provinciale_di_pavia_in_voghera | giuseppe_antonini_senior | cesare_lombroso"
3,"franco_fornari | mauro_morra | cesare_luigi_musatti"
3,"franco_fornari | societ_psicoanalitica_italiana | mauro_morra"
3,"carlo_lorenzo_cazzullo | ospedale_psichiatrico_provinciale_paolo_pini | mauro_morra"
3,"dina_vallino | franco_fornari | mauro_morra"
3,"dina_vallino | societ_psicoanalitica_italiana | mauro_morra"
3,"dina_vallino | ospedale_psichiatrico_provinciale_paolo_pini | mauro_morra"
3,"senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro | franco_fornari | mauro_morra"
